only_concept,generator,acc,auc
bitplane_lsb,ADM,0.5145,0.923482
bitplane_lsb,BigGAN,0.51,0.931192
bitplane_lsb,GLIDE,0.71,0.977012
bitplane_lsb,Midjourney,0.5425,0.9494689999999999
bitplane_lsb,Stable_Diffusion_v1.4,0.498,0.9398860000000001
bitplane_lsb,VQDM,0.5,0.934805
bitplane_lsb,Wukong,0.498,0.9395660000000001
freq_radial,ADM,0.955,0.998337
freq_radial,BigGAN,0.9965,0.9997739999999999
freq_radial,GLIDE,0.9405,0.999778
freq_radial,Midjourney,0.899,0.9924499999999999
freq_radial,Stable_Diffusion_v1.4,0.913,0.995567
freq_radial,VQDM,0.822,0.997431
freq_radial,Wukong,0.8165,0.988801
color_manifold,ADM,0.5125,0.8623059999999999
color_manifold,BigGAN,0.5265,0.8693869999999999
color_manifold,GLIDE,0.7825,0.973536
color_manifold,Midjourney,0.504,0.869281
color_manifold,Stable_Diffusion_v1.4,0.5,0.8937740000000001
color_manifold,VQDM,0.666,0.9660099999999999
color_manifold,Wukong,0.4995,0.8757245
hf_noise,ADM,0.5,0.49748899999999996
hf_noise,BigGAN,0.5,0.42803499999999994
hf_noise,GLIDE,0.5,0.3001175
hf_noise,Midjourney,0.5,0.5908705
hf_noise,Stable_Diffusion_v1.4,0.5,0.668681
hf_noise,VQDM,0.5,0.426698
hf_noise,Wukong,0.5,0.701147
jpeg_quant,ADM,0.5,0.998992
jpeg_quant,BigGAN,0.5,0.999954
jpeg_quant,GLIDE,0.5,0.999981
jpeg_quant,Midjourney,0.5,0.9975809999999999
jpeg_quant,Stable_Diffusion_v1.4,0.5,0.993066
jpeg_quant,VQDM,0.5,0.998189
jpeg_quant,Wukong,0.5,0.992946
texture_geometry,ADM,0.5215,0.774791
texture_geometry,BigGAN,0.4955,0.651346
texture_geometry,GLIDE,0.491,0.41386
texture_geometry,Midjourney,0.5095,0.7455170000000001
texture_geometry,Stable_Diffusion_v1.4,0.5585,0.82602
texture_geometry,VQDM,0.517,0.6365400000000001
texture_geometry,Wukong,0.574,0.855006
