generator,concept,n_correct_fake,n_flipped_to_real,flip_rate,mean_prob_before,mean_prob_after
ADM,bitplane_lsb,1000,0,0.0,0.9978622794151306,0.9945552945137024
ADM,freq_radial,1000,0,0.0,0.9978622794151306,0.9210519194602966
ADM,color_manifold,1000,0,0.0,0.9978622794151306,0.993450939655304
ADM,hf_noise,1000,0,0.0,0.9978622794151306,0.9978401064872742
ADM,jpeg_quant,1000,366,0.366,0.9978622794151306,0.5823104977607727
ADM,texture_geometry,1000,0,0.0,0.9978622794151306,0.9859738945960999
BigGAN,bitplane_lsb,1000,0,0.0,0.9989832639694214,0.9978801608085632
BigGAN,freq_radial,1000,2,0.002,0.9989832639694214,0.8759498000144958
BigGAN,color_manifold,1000,0,0.0,0.9989832639694214,0.9970356822013855
BigGAN,hf_noise,1000,0,0.0,0.9989832639694214,0.999260425567627
BigGAN,jpeg_quant,1000,299,0.299,0.9989832639694214,0.637704610824585
BigGAN,texture_geometry,1000,0,0.0,0.9989832639694214,0.9977167248725891
GLIDE,bitplane_lsb,1000,0,0.0,0.9997369647026062,0.9985239505767822
GLIDE,freq_radial,1000,1,0.001,0.9997369647026062,0.9792687892913818
GLIDE,color_manifold,1000,0,0.0,0.9997369647026062,0.9981454014778137
GLIDE,hf_noise,1000,0,0.0,0.9997369647026062,0.9998317956924438
GLIDE,jpeg_quant,1000,98,0.098,0.9997369647026062,0.8460583686828613
GLIDE,texture_geometry,1000,0,0.0,0.9997369647026062,0.9995583891868591
Midjourney,bitplane_lsb,996,1,0.001004016064257028,0.9941862225532532,0.9843025803565979
Midjourney,freq_radial,996,2,0.002008032128514056,0.9941862225532532,0.9376460313796997
Midjourney,color_manifold,996,0,0.0,0.9941862225532532,0.9886189699172974
Midjourney,hf_noise,996,0,0.0,0.9941862225532532,0.9939442276954651
Midjourney,jpeg_quant,996,335,0.33634538152610444,0.9941862225532532,0.5998293161392212
Midjourney,texture_geometry,996,0,0.0,0.9941862225532532,0.9847053289413452
Stable_Diffusion_v1.4,bitplane_lsb,1000,1,0.001,0.9961212873458862,0.9916054010391235
Stable_Diffusion_v1.4,freq_radial,1000,0,0.0,0.9961212873458862,0.9042922258377075
Stable_Diffusion_v1.4,color_manifold,1000,1,0.001,0.9961212873458862,0.987604558467865
Stable_Diffusion_v1.4,hf_noise,1000,1,0.001,0.9961212873458862,0.9919067621231079
Stable_Diffusion_v1.4,jpeg_quant,1000,325,0.325,0.9961212873458862,0.6074346899986267
Stable_Diffusion_v1.4,texture_geometry,1000,1,0.001,0.9961212873458862,0.9736992120742798
VQDM,bitplane_lsb,999,0,0.0,0.9966390132904053,0.9946644306182861
VQDM,freq_radial,999,3,0.003003003003003003,0.9966390132904053,0.9612650275230408
VQDM,color_manifold,999,1,0.001001001001001001,0.9966390132904053,0.971952497959137
VQDM,hf_noise,999,0,0.0,0.9966390132904053,0.9971001148223877
VQDM,jpeg_quant,999,449,0.4494494494494494,0.9966390132904053,0.5376866459846497
VQDM,texture_geometry,999,1,0.001001001001001001,0.9966390132904053,0.9868232607841492
Wukong,bitplane_lsb,993,2,0.002014098690835851,0.98634272813797,0.9792720079421997
Wukong,freq_radial,993,16,0.016112789526686808,0.98634272813797,0.9031742215156555
Wukong,color_manifold,993,2,0.002014098690835851,0.98634272813797,0.9783094525337219
Wukong,hf_noise,993,1,0.0010070493454179255,0.98634272813797,0.9793949127197266
Wukong,jpeg_quant,993,422,0.42497482376636453,0.98634272813797,0.5541577339172363
Wukong,texture_geometry,993,8,0.008056394763343404,0.98634272813797,0.9519919753074646
