generator,concept,n_correct_real,n_flipped_to_fake,flip_rate,mean_prob_before,mean_prob_after
ADM,bitplane_lsb,998,1,0.001002004008016032,0.00565780745819211,0.012609466910362244
ADM,freq_radial,998,10,0.01002004008016032,0.00565780745819211,0.10085774958133698
ADM,color_manifold,998,1,0.001002004008016032,0.00565780745819211,0.012580984272062778
ADM,hf_noise,998,0,0.0,0.00565780745819211,0.005636236630380154
ADM,jpeg_quant,998,473,0.47394789579158314,0.00565780745819211,0.4797685146331787
ADM,texture_geometry,998,2,0.002004008016032064,0.00565780745819211,0.019061995670199394
BigGAN,bitplane_lsb,996,0,0.0,0.0060483720153570175,0.009880779311060905
BigGAN,freq_radial,996,90,0.09036144578313253,0.0060483720153570175,0.22965076565742493
BigGAN,color_manifold,996,0,0.0,0.0060483720153570175,0.014020412229001522
BigGAN,hf_noise,996,0,0.0,0.0060483720153570175,0.005748725961893797
BigGAN,jpeg_quant,996,537,0.5391566265060241,0.0060483720153570175,0.5456041097640991
BigGAN,texture_geometry,996,0,0.0,0.0060483720153570175,0.01242774073034525
GLIDE,bitplane_lsb,996,2,0.002008032128514056,0.006516661494970322,0.06059077009558678
GLIDE,freq_radial,996,9,0.009036144578313253,0.006516661494970322,0.09369716048240662
GLIDE,color_manifold,996,1,0.001004016064257028,0.006516661494970322,0.06078266724944115
GLIDE,hf_noise,996,0,0.0,0.006516661494970322,0.005555883515626192
GLIDE,jpeg_quant,996,722,0.7248995983935743,0.006516661494970322,0.6573078036308289
GLIDE,texture_geometry,996,0,0.0,0.006516661494970322,0.007052936125546694
Midjourney,bitplane_lsb,998,1,0.001002004008016032,0.005585428327322006,0.01990422047674656
Midjourney,freq_radial,998,4,0.004008016032064128,0.005585428327322006,0.06988269090652466
Midjourney,color_manifold,998,1,0.001002004008016032,0.005585428327322006,0.012460547499358654
Midjourney,hf_noise,998,0,0.0,0.005585428327322006,0.006458929739892483
Midjourney,jpeg_quant,998,427,0.4278557114228457,0.005585428327322006,0.4581332504749298
Midjourney,texture_geometry,998,0,0.0,0.005585428327322006,0.017377149313688278
Stable_Diffusion_v1.4,bitplane_lsb,997,0,0.0,0.005563477519899607,0.008155761286616325
Stable_Diffusion_v1.4,freq_radial,997,5,0.0050150451354062184,0.005563477519899607,0.07365275174379349
Stable_Diffusion_v1.4,color_manifold,997,0,0.0,0.005563477519899607,0.011503252200782299
Stable_Diffusion_v1.4,hf_noise,997,0,0.0,0.005563477519899607,0.008082782849669456
Stable_Diffusion_v1.4,jpeg_quant,997,238,0.238716148445336,0.005563477519899607,0.3157787621021271
Stable_Diffusion_v1.4,texture_geometry,997,1,0.0010030090270812437,0.005563477519899607,0.02445978857576847
VQDM,bitplane_lsb,996,0,0.0,0.00651666009798646,0.009342004545032978
VQDM,freq_radial,996,4,0.004016064257028112,0.00651666009798646,0.05483707785606384
VQDM,color_manifold,996,1,0.001004016064257028,0.00651666009798646,0.043074753135442734
VQDM,hf_noise,996,0,0.0,0.00651666009798646,0.0061828033067286015
VQDM,jpeg_quant,996,535,0.5371485943775101,0.00651666009798646,0.5345216393470764
VQDM,texture_geometry,996,1,0.001004016064257028,0.00651666009798646,0.012742393650114536
Wukong,bitplane_lsb,996,0,0.0,0.006516661494970322,0.009444606490433216
Wukong,freq_radial,996,4,0.004016064257028112,0.006516661494970322,0.05352756008505821
Wukong,color_manifold,996,0,0.0,0.006516661494970322,0.010916708037257195
Wukong,hf_noise,996,0,0.0,0.006516661494970322,0.009689773432910442
Wukong,jpeg_quant,996,241,0.2419678714859438,0.006516661494970322,0.32151609659194946
Wukong,texture_geometry,996,3,0.0030120481927710845,0.006516661494970322,0.029627401381731033
