generator,jpeg_q,acc,real_acc,fake_acc
ADM,100,0.999,0.998,1.0
ADM,95,0.859,0.997,0.721
ADM,75,0.5105,1.0,0.021
ADM,50,0.5,1.0,0.0
ADM,30,0.5,1.0,0.0
BigGAN,100,0.998,0.996,1.0
BigGAN,95,0.8045,0.994,0.615
BigGAN,75,0.522,0.998,0.046
BigGAN,50,0.501,0.999,0.003
BigGAN,30,0.4995,0.999,0.0
GLIDE,100,0.998,0.996,1.0
GLIDE,95,0.8745,0.995,0.754
GLIDE,75,0.503,0.998,0.008
GLIDE,50,0.499,0.998,0.0
GLIDE,30,0.499,0.998,0.0
Midjourney,100,0.997,0.998,0.996
Midjourney,95,0.9525,0.998,0.907
Midjourney,75,0.837,1.0,0.674
Midjourney,50,0.7045,1.0,0.409
Midjourney,30,0.588,1.0,0.176
Stable_Diffusion_v1.4,100,0.9985,0.997,1.0
Stable_Diffusion_v1.4,95,0.9435,0.996,0.891
Stable_Diffusion_v1.4,75,0.7825,0.998,0.567
Stable_Diffusion_v1.4,50,0.6435,0.998,0.289
Stable_Diffusion_v1.4,30,0.574,0.998,0.15
VQDM,100,0.9975,0.996,0.999
VQDM,95,0.8935,0.995,0.792
VQDM,75,0.507,0.998,0.016
VQDM,50,0.499,0.998,0.0
VQDM,30,0.499,0.998,0.0
Wukong,100,0.9945,0.996,0.993
Wukong,95,0.9435,0.995,0.892
Wukong,75,0.7005,0.998,0.403
Wukong,50,0.5655,0.998,0.133
Wukong,30,0.516,0.998,0.034
