epoch,total_loss,task_loss,concept_mse_loss,content_pair_loss,sparsity,lr,val_acc_sd14,val_auc_sd14
1,0.1822290243256092,0.1833399263739586,0.12722584852397442,0.01433390625,-1.35181448843956,0.0001,0.9935,0.999628
2,0.023891249719262122,0.05437247432455421,0.08224203733742237,0.012529990234375,-1.4821571398353577,9.938441702975689e-05,0.9945,0.999913
3,-0.010908715371489524,0.035076552046984434,0.05952484727978706,0.01032876953125,-1.5562626787757874,9.755282581475769e-05,0.9925,0.999228
4,-0.026492851041555406,0.026327374047785998,0.04924875786274672,0.01108267578125,-1.5932160746192932,9.45503262094184e-05,0.9935,0.999903
5,-0.03437499416232109,0.021957715649306774,0.04401867153853178,0.01213080078125,-1.6153663703727723,9.045084971874738e-05,0.993,0.9998910000000001
6,-0.04176604855954647,0.017231612385511397,0.040309157305061814,0.010729140625,-1.625965465373993,8.535533905932738e-05,0.9945,0.999691
7,-0.04549788737356663,0.01497957260966301,0.03804977025479078,0.01116078125,-1.634690573310852,7.938926261462366e-05,0.997,0.999866
8,-0.048766755027770996,0.013064581046067178,0.036085947763621805,0.010872138671875,-1.6409735730552673,7.269952498697734e-05,0.9985,0.999986
9,-0.05200493189156055,0.01080248868100345,0.03466386547654867,0.0104919140625,-1.6447531991004944,6.545084971874738e-05,0.9935,0.999985
10,-0.05443577479183674,0.009160991574600338,0.033430469398796556,0.01034892578125,-1.6476364759635926,5.782172325201156e-05,0.9955,0.999991
11,-0.05619891939342022,0.007872655182220042,0.03254453917056322,0.01102818359375,-1.650985837802887,5.000000000000001e-05,0.997,0.99999
12,-0.058061277663111685,0.006556975999567657,0.03174783984169364,0.01090291015625,-1.6534622897148132,4.217827674798848e-05,0.9965,0.999955
13,-0.05976014030456543,0.00545973839558661,0.030877161429524423,0.010344931640625,-1.6545507007789613,3.454915028125264e-05,0.998,0.999786
14,-0.06080187961161137,0.00475820569222793,0.030183886816501616,0.010707490234375,-1.6558748710632325,2.730047501302267e-05,0.999,0.999963
15,-0.06171732581138611,0.004033343250807375,0.02969903854548931,0.011301708984375,-1.657211402645111,2.0610737385376356e-05,0.9985,0.999991
16,-0.06261057573854924,0.0035724526387639344,0.029232226925492287,0.01043876953125,-1.6577383744430543,1.464466094067263e-05,0.9985,0.999999
17,-0.06321011386573315,0.003112709686756134,0.028849344617426394,0.010877099609375,-1.6584533069610596,9.549150281252635e-06,0.999,1.0
18,-0.06374611095309257,0.0029332545631937683,0.0284810588786006,0.01004765625,-1.658593329372406,5.4496737905816115e-06,0.999,1.0
19,-0.06356612408995628,0.002880983449090272,0.028359015183150767,0.01163431640625,-1.6590622540664672,2.4471741852423237e-06,0.999,1.0
20,-0.06380071063756942,0.0027935382675752045,0.028442231398671865,0.01085751953125,-1.659733239479065,6.155829702431171e-07,0.999,1.0
