source,seed,family,subset_size,channels,imputation,direction,generator,n,metric,value,baseline_acc,acc,delta_pp,effect_pp,auc,real_acc,fake_acc,protocol,claim_scope,notes
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,ADM,2000,accuracy,0.9995,0.999,0.9995,0.05,0.05,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,BigGAN,2000,accuracy,0.9995,0.998,0.9995,0.15,0.15,1.0,0.999,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,GLIDE,2000,accuracy,0.999,0.998,0.999,0.1,0.1,1.0,0.998,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,Midjourney,2000,accuracy,0.9965,0.997,0.9965,-0.05,-0.05,0.998325,0.998,0.995,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.9985,0.9985,0.9985,0.0,0.0,0.999998,0.998,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,VQDM,2000,accuracy,0.998,0.9975,0.998,0.05,0.05,0.99999,0.998,0.998,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,Wukong,2000,accuracy,0.991,0.9945,0.991,-0.35,-0.35,0.99988,0.998,0.984,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,bitplane_lsb,zero,,__ALL__,14000,accuracy,0.997429,0.9975,0.997429,-0.007143,-0.007143,0.999745,0.998286,0.996571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,ADM,2000,accuracy,0.5145,0.999,0.5145,-48.45,-48.45,0.923482,0.999,0.03,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,BigGAN,2000,accuracy,0.51,0.998,0.51,-48.8,-48.8,0.931192,0.998,0.022,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,GLIDE,2000,accuracy,0.71,0.998,0.71,-28.8,-28.8,0.977012,0.996,0.424,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,Midjourney,2000,accuracy,0.5425,0.997,0.5425,-45.45,-45.45,0.949469,0.997,0.088,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.498,0.9985,0.498,-50.05,-50.05,0.939886,0.996,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,VQDM,2000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.934805,0.996,0.004,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,Wukong,2000,accuracy,0.498,0.9945,0.498,-49.65,-49.65,0.939566,0.996,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,1,bitplane_lsb,zero_elsewhere,,__ALL__,14000,accuracy,0.539,0.9975,0.539,-45.85,-45.85,0.941994,0.996857,0.081143,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,ADM,2000,accuracy,0.784,0.999,0.784,-21.5,-21.5,0.999412,0.999,0.569,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,BigGAN,2000,accuracy,0.6955,0.998,0.6955,-30.25,-30.25,0.999997,1.0,0.391,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,GLIDE,2000,accuracy,0.956,0.998,0.956,-4.2,-4.2,0.999998,1.0,0.912,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,Midjourney,2000,accuracy,0.843,0.997,0.843,-15.4,-15.4,0.999414,1.0,0.686,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.7525,0.9985,0.7525,-24.6,-24.6,1.0,1.0,0.505,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,VQDM,2000,accuracy,0.947,0.9975,0.947,-5.05,-5.05,0.999979,1.0,0.894,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,Wukong,2000,accuracy,0.7975,0.9945,0.7975,-19.7,-19.7,0.999387,1.0,0.595,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,1,freq_radial,zero,,__ALL__,14000,accuracy,0.825071,0.9975,0.825071,-17.242857,-17.242857,0.999757,0.999857,0.650286,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
