variant,checkpoint,generator,n,channel,baseline_acc,baseline_auc,acc,auc,real_acc,fake_acc,delta_pp,drop_pp,protocol,claim_scope
full,Logs\protocol_d_mini_full_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,bitplane_lsb,0.987,0.999356,0.985,0.99938,0.984,0.986,-0.2,0.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
full,Logs\protocol_d_mini_full_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,freq_radial,0.987,0.999356,0.985,0.999408,0.984,0.986,-0.2,0.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
full,Logs\protocol_d_mini_full_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,color_manifold,0.987,0.999356,0.983,0.999292,0.986,0.98,-0.4,0.4,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
full,Logs\protocol_d_mini_full_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,hf_noise,0.987,0.999356,0.985,0.999264,0.986,0.984,-0.2,0.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
full,Logs\protocol_d_mini_full_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,jpeg_quant,0.987,0.999356,0.965,0.999436,0.93,1.0,-2.2,2.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
full,Logs\protocol_d_mini_full_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,texture_geometry,0.987,0.999356,0.985,0.999292,0.986,0.984,-0.2,0.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_pair,Logs\protocol_d_mini_no_pair_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,bitplane_lsb,0.985,0.999264,0.983,0.999312,0.984,0.982,-0.2,0.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_pair,Logs\protocol_d_mini_no_pair_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,freq_radial,0.985,0.999264,0.985,0.999332,0.988,0.982,0.0,0.0,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_pair,Logs\protocol_d_mini_no_pair_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,color_manifold,0.985,0.999264,0.98,0.999184,0.986,0.974,-0.5,0.5,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_pair,Logs\protocol_d_mini_no_pair_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,hf_noise,0.985,0.999264,0.982,0.999092,0.986,0.978,-0.3,0.3,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_pair,Logs\protocol_d_mini_no_pair_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,jpeg_quant,0.985,0.999264,0.981,0.999356,0.962,1.0,-0.4,0.4,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_pair,Logs\protocol_d_mini_no_pair_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,texture_geometry,0.985,0.999264,0.983,0.999144,0.988,0.978,-0.2,0.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_sparsity,Logs\protocol_d_mini_no_sparsity_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,bitplane_lsb,0.982,0.999348,0.983,0.99936,0.982,0.984,0.1,0.0,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_sparsity,Logs\protocol_d_mini_no_sparsity_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,freq_radial,0.982,0.999348,0.986,0.99934,0.99,0.982,0.4,0.0,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_sparsity,Logs\protocol_d_mini_no_sparsity_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,color_manifold,0.982,0.999348,0.984,0.999292,0.99,0.978,0.2,0.0,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_sparsity,Logs\protocol_d_mini_no_sparsity_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,hf_noise,0.982,0.999348,0.983,0.999272,0.984,0.982,0.1,0.0,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_sparsity,Logs\protocol_d_mini_no_sparsity_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,jpeg_quant,0.982,0.999348,0.98,0.999376,0.962,0.998,-0.2,0.2,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
no_sparsity,Logs\protocol_d_mini_no_sparsity_s42\ckpt_epoch5.pth,Stable_Diffusion_v1.4,1000,texture_geometry,0.982,0.999348,0.983,0.999284,0.988,0.978,0.1,0.0,frozen_bottleneck_closed_form,mini_training_design_sensitivity_not_full_retraining
