zeroed_concept,generator,baseline_acc,new_acc,delta_acc,new_real_acc,new_fake_acc,new_auc
bitplane_lsb,ADM,0.9995,0.9955,-0.0040000000000000036,0.999,0.992,0.999968
bitplane_lsb,BigGAN,0.998,0.9995,0.0015000000000000568,0.999,1.0,0.999881
bitplane_lsb,GLIDE,0.999,0.975,-0.02400000000000002,0.999,0.951,0.999804
bitplane_lsb,Midjourney,0.9945,0.983,-0.011500000000000066,0.998,0.968,0.997413
bitplane_lsb,Stable_Diffusion_v1.4,0.9985,0.997,-0.0015000000000000568,0.999,0.995,0.999991
bitplane_lsb,VQDM,0.9985,0.998,-0.000500000000000056,0.999,0.997,0.999992
bitplane_lsb,Wukong,0.9945,0.9895,-0.0050000000000000044,0.999,0.98,0.99973
freq_radial,ADM,0.9995,0.5825,-0.41700000000000004,1.0,0.165,0.9999709999999999
freq_radial,BigGAN,0.998,0.542,-0.45599999999999996,1.0,0.084,0.998942
freq_radial,GLIDE,0.999,0.7925,-0.20650000000000002,1.0,0.585,0.999819
freq_radial,Midjourney,0.9945,0.687,-0.3075,1.0,0.374,0.9987269999999999
freq_radial,Stable_Diffusion_v1.4,0.9985,0.5695,-0.42900000000000005,1.0,0.139,0.999686
freq_radial,VQDM,0.9985,0.5175,-0.4810000000000001,1.0,0.035,0.998792
freq_radial,Wukong,0.9945,0.5855,-0.40900000000000003,1.0,0.171,0.999506
color_manifold,ADM,0.9995,0.986,-0.013500000000000068,0.972,1.0,0.999975
color_manifold,BigGAN,0.998,0.9865,-0.011499999999999955,0.973,1.0,0.999856
color_manifold,GLIDE,0.999,0.991,-0.008000000000000007,0.982,1.0,0.999999
color_manifold,Midjourney,0.9945,0.98,-0.014500000000000068,0.962,0.998,0.999016
color_manifold,Stable_Diffusion_v1.4,0.9985,0.99,-0.008500000000000063,0.98,1.0,0.9997535
color_manifold,VQDM,0.9985,0.991,-0.007500000000000062,0.982,1.0,0.999908
color_manifold,Wukong,0.9945,0.99,-0.0045000000000000595,0.982,0.998,0.999344
hf_noise,ADM,0.9995,1.0,0.0004999999999999449,1.0,1.0,1.0
hf_noise,BigGAN,0.998,0.999,0.0010000000000000009,0.998,1.0,1.0
hf_noise,GLIDE,0.999,0.9995,0.000500000000000056,0.999,1.0,1.0
hf_noise,Midjourney,0.9945,0.9915,-0.0030000000000000027,0.999,0.984,0.998688
hf_noise,Stable_Diffusion_v1.4,0.9985,0.9705,-0.028000000000000025,0.999,0.942,0.999258
hf_noise,VQDM,0.9985,0.9965,-0.0020000000000000018,0.999,0.994,0.999958
hf_noise,Wukong,0.9945,0.9525,-0.04200000000000004,0.999,0.906,0.998278
jpeg_quant,ADM,0.9995,0.754,-0.24550000000000005,0.508,1.0,0.999177
jpeg_quant,BigGAN,0.998,0.7575,-0.24050000000000005,0.515,1.0,0.9989935
jpeg_quant,GLIDE,0.999,0.745,-0.254,0.49,1.0,0.999892
jpeg_quant,Midjourney,0.9945,0.781,-0.21350000000000002,0.563,0.999,0.9979364999999999
jpeg_quant,Stable_Diffusion_v1.4,0.9985,0.741,-0.25750000000000006,0.482,1.0,0.999913
jpeg_quant,VQDM,0.9985,0.745,-0.25350000000000006,0.49,1.0,0.998687
jpeg_quant,Wukong,0.9945,0.745,-0.24950000000000006,0.49,1.0,0.9996389999999999
texture_geometry,ADM,0.9995,0.9565,-0.04300000000000004,0.913,1.0,0.9994285
texture_geometry,BigGAN,0.998,0.956,-0.04200000000000004,0.912,1.0,0.999132
texture_geometry,GLIDE,0.999,0.9725,-0.026499999999999968,0.945,1.0,1.0
texture_geometry,Midjourney,0.9945,0.9535,-0.041000000000000036,0.908,0.999,0.9993715000000001
texture_geometry,Stable_Diffusion_v1.4,0.9985,0.9735,-0.025000000000000022,0.947,1.0,0.999982
texture_geometry,VQDM,0.9985,0.9725,-0.026000000000000023,0.945,1.0,0.999983
texture_geometry,Wukong,0.9945,0.972,-0.022500000000000075,0.945,0.999,0.999858
