generator,concept,n_correct_real,n_flipped_to_fake,flip_rate,mean_prob_before,mean_prob_after
ADM,bitplane_lsb,999,1,0.001001001001001001,0.004275760613381863,0.01972777396440506
ADM,freq_radial,999,50,0.05005005005005005,0.004275760613381863,0.17362713813781738
ADM,color_manifold,999,1,0.001001001001001001,0.004275760613381863,0.016334503889083862
ADM,hf_noise,999,1,0.001001001001001001,0.004275760613381863,0.006658338010311127
ADM,jpeg_quant,999,43,0.043043043043043044,0.004275760613381863,0.11948335915803909
ADM,texture_geometry,999,2,0.002002002002002002,0.004275760613381863,0.03123953752219677
BigGAN,bitplane_lsb,996,0,0.0,0.007347029633820057,0.01673687808215618
BigGAN,freq_radial,996,250,0.25100401606425704,0.007347029633820057,0.35493895411491394
BigGAN,color_manifold,996,3,0.0030120481927710845,0.007347029633820057,0.014430581592023373
BigGAN,hf_noise,996,0,0.0,0.007347029633820057,0.007737445179373026
BigGAN,jpeg_quant,996,48,0.04819277108433735,0.007347029633820057,0.15637072920799255
BigGAN,texture_geometry,996,8,0.008032128514056224,0.007347029633820057,0.03709122911095619
GLIDE,bitplane_lsb,998,12,0.012024048096192385,0.004376283846795559,0.17796149849891663
GLIDE,freq_radial,998,101,0.10120240480961924,0.004376283846795559,0.22290514409542084
GLIDE,color_manifold,998,0,0.0,0.004376283846795559,0.0022559133358299732
GLIDE,hf_noise,998,0,0.0,0.004376283846795559,0.004387312568724155
GLIDE,jpeg_quant,998,109,0.1092184368737475,0.004376283846795559,0.23289096355438232
GLIDE,texture_geometry,998,5,0.00501002004008016,0.004376283846795559,0.03947494179010391
Midjourney,bitplane_lsb,996,3,0.0030120481927710845,0.006340705789625645,0.039180438965559006
Midjourney,freq_radial,996,11,0.01104417670682731,0.006340705789625645,0.10063941776752472
Midjourney,color_manifold,996,2,0.002008032128514056,0.006340705789625645,0.01938365213572979
Midjourney,hf_noise,996,0,0.0,0.006340705789625645,0.009610204957425594
Midjourney,jpeg_quant,996,21,0.02108433734939759,0.006340705789625645,0.10055238753557205
Midjourney,texture_geometry,996,1,0.001004016064257028,0.006340705789625645,0.03341515362262726
Stable_Diffusion_v1.4,bitplane_lsb,998,0,0.0,0.004610063508152962,0.012043816968798637
Stable_Diffusion_v1.4,freq_radial,998,18,0.018036072144288578,0.004610063508152962,0.12024207413196564
Stable_Diffusion_v1.4,color_manifold,998,0,0.0,0.004610063508152962,0.016481194645166397
Stable_Diffusion_v1.4,hf_noise,998,0,0.0,0.004610063508152962,0.015451538376510143
Stable_Diffusion_v1.4,jpeg_quant,998,4,0.004008016032064128,0.004610063508152962,0.057955581694841385
Stable_Diffusion_v1.4,texture_geometry,998,4,0.004008016032064128,0.004610063508152962,0.024765869602560997
VQDM,bitplane_lsb,998,0,0.0,0.0043762801215052605,0.014658194966614246
VQDM,freq_radial,998,34,0.03406813627254509,0.0043762801215052605,0.1490078717470169
VQDM,color_manifold,998,0,0.0,0.0043762801215052605,0.004521862603724003
VQDM,hf_noise,998,0,0.0,0.0043762801215052605,0.0060468739829957485
VQDM,jpeg_quant,998,61,0.061122244488977955,0.0043762801215052605,0.16996634006500244
VQDM,texture_geometry,998,5,0.00501002004008016,0.0043762801215052605,0.04702838882803917
Wukong,bitplane_lsb,998,0,0.0,0.004376283846795559,0.012424185872077942
Wukong,freq_radial,998,11,0.011022044088176353,0.004376283846795559,0.09664544463157654
Wukong,color_manifold,998,0,0.0,0.004376283846795559,0.016567200422286987
Wukong,hf_noise,998,0,0.0,0.004376283846795559,0.018528811633586884
Wukong,jpeg_quant,998,3,0.003006012024048096,0.004376283846795559,0.0593462809920311
Wukong,texture_geometry,998,2,0.002004008016032064,0.004376283846795559,0.02034646086394787
