generator,concept,n_correct_fake,n_flipped_to_real,flip_rate,mean_prob_before,mean_prob_after
ADM,bitplane_lsb,1000,0,0.0,0.9978326559066772,0.9871677160263062
ADM,freq_radial,1000,6,0.006,0.9978326559066772,0.8877023458480835
ADM,color_manifold,1000,0,0.0,0.9978326559066772,0.9929651021957397
ADM,hf_noise,1000,0,0.0,0.9978326559066772,0.9972891807556152
ADM,jpeg_quant,1000,0,0.0,0.9978326559066772,0.9255472421646118
ADM,texture_geometry,1000,0,0.0,0.9978326559066772,0.9701448678970337
BigGAN,bitplane_lsb,1000,0,0.0,0.9990607500076294,0.9966707229614258
BigGAN,freq_radial,1000,45,0.045,0.9990607500076294,0.8430110812187195
BigGAN,color_manifold,1000,0,0.0,0.9990607500076294,0.9971228837966919
BigGAN,hf_noise,1000,0,0.0,0.9990607500076294,0.9993780255317688
BigGAN,jpeg_quant,1000,0,0.0,0.9990607500076294,0.948310911655426
BigGAN,texture_geometry,1000,0,0.0,0.9990607500076294,0.9880630970001221
GLIDE,bitplane_lsb,1000,0,0.0,0.9997873902320862,0.998476505279541
GLIDE,freq_radial,1000,2,0.002,0.9997873902320862,0.9709370136260986
GLIDE,color_manifold,1000,0,0.0,0.9997873902320862,0.998916506767273
GLIDE,hf_noise,1000,0,0.0,0.9997873902320862,0.9998825788497925
GLIDE,jpeg_quant,1000,0,0.0,0.9997873902320862,0.9813312292098999
GLIDE,texture_geometry,1000,0,0.0,0.9997873902320862,0.9974845051765442
Midjourney,bitplane_lsb,997,6,0.006018054162487462,0.9933476448059082,0.9720388650894165
Midjourney,freq_radial,997,6,0.006018054162487462,0.9933476448059082,0.9250948429107666
Midjourney,color_manifold,997,4,0.004012036108324975,0.9933476448059082,0.9871826171875
Midjourney,hf_noise,997,0,0.0,0.9933476448059082,0.9924167990684509
Midjourney,jpeg_quant,997,9,0.009027081243731194,0.9933476448059082,0.932321310043335
Midjourney,texture_geometry,997,5,0.0050150451354062184,0.9933476448059082,0.9623176455497742
Stable_Diffusion_v1.4,bitplane_lsb,999,0,0.0,0.9957687854766846,0.9821096062660217
Stable_Diffusion_v1.4,freq_radial,999,9,0.009009009009009009,0.9957687854766846,0.8761740326881409
Stable_Diffusion_v1.4,color_manifold,999,0,0.0,0.9957687854766846,0.987602174282074
Stable_Diffusion_v1.4,hf_noise,999,0,0.0,0.9957687854766846,0.9861506819725037
Stable_Diffusion_v1.4,jpeg_quant,999,0,0.0,0.9957687854766846,0.9303019046783447
Stable_Diffusion_v1.4,texture_geometry,999,1,0.001001001001001001,0.9957687854766846,0.9537728428840637
VQDM,bitplane_lsb,1000,0,0.0,0.9981077909469604,0.9910758137702942
VQDM,freq_radial,1000,9,0.009,0.9981077909469604,0.946712851524353
VQDM,color_manifold,1000,0,0.0,0.9981077909469604,0.9839538335800171
VQDM,hf_noise,1000,0,0.0,0.9981077909469604,0.9976552724838257
VQDM,jpeg_quant,1000,2,0.002,0.9981077909469604,0.9343202114105225
VQDM,texture_geometry,1000,1,0.001,0.9981077909469604,0.9761744141578674
Wukong,bitplane_lsb,995,2,0.0020100502512562816,0.9904659390449524,0.9683768153190613
Wukong,freq_radial,995,20,0.020100502512562814,0.9904659390449524,0.8738160133361816
Wukong,color_manifold,995,2,0.0020100502512562816,0.9904659390449524,0.9821979999542236
Wukong,hf_noise,995,2,0.0020100502512562816,0.9904659390449524,0.9747207760810852
Wukong,jpeg_quant,995,8,0.008040201005025126,0.9904659390449524,0.9113725423812866
Wukong,texture_geometry,995,5,0.005025125628140704,0.9904659390449524,0.9433972239494324
